"sf__Id","sf__Error",Id,Pricebook2Id,Product2Id,ProductCode,UnitPrice,IsActive,UseStandardPrice,ProductSellingModelId
"01udp000000zivQAAQ","FIELD_INTEGRITY_EXCEPTION:Couldn’t save this price book entry. When an active price book entry is related to a product and a product selling model, the product and product selling model must be active.:--","01udp000000zivQAAQ","01sa5000001vuxlAAA","01tdp000006HfpkAAC","","250.0","true","false","0jPdp00000000zREAQ"
"01udp000000zivRAAQ","FIELD_INTEGRITY_EXCEPTION:Couldn’t save this price book entry. When an active price book entry is related to a product and a product selling model, the product and product selling model must be active.:--","01udp000000zivRAAQ","01sa5000001vuxlAAA","01tdp000006HfplAAC","","250.0","true","false","0jPdp00000000zREAQ"
"01udp000000zivSAAQ","FIELD_INTEGRITY_EXCEPTION:Couldn’t save this price book entry. When an active price book entry is related to a product and a product selling model, the product and product selling model must be active.:--","01udp000000zivSAAQ","01sa5000001vuxlAAA","01tdp000006HfpmAAC","","250.0","true","false","0jPdp00000000zREAQ"
"01udp000000zivTAAQ","CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:Too many retries of batch save in the presence of Apex triggers with failures: when triggers are present partial save requires that some subset of rows save without any errors in order to avoid inconsistent side effects from those triggers. Number of retries: 2:--","01udp000000zivTAAQ","01sa5000001vuxlAAA","01tdp000006HfpnAAC","","250.0","true","false","0jPdp00000000zREAQ"
"01udp000000zivUAAQ","CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:Too many retries of batch save in the presence of Apex triggers with failures: when triggers are present partial save requires that some subset of rows save without any errors in order to avoid inconsistent side effects from those triggers. Number of retries: 2:--","01udp000000zivUAAQ","01sa5000001vuxlAAA","01tdp000006HfpoAAC","","250.0","true","false","0jPdp00000000zREAQ"
"01udp000000zivVAAQ","CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:Too many retries of batch save in the presence of Apex triggers with failures: when triggers are present partial save requires that some subset of rows save without any errors in order to avoid inconsistent side effects from those triggers. Number of retries: 2:--","01udp000000zivVAAQ","01sa5000001vuxlAAA","01tdp000006HfppAAC","","250.0","true","false","0jPdp00000000zREAQ"
"01udp000000zivWAAQ","CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:Too many retries of batch save in the presence of Apex triggers with failures: when triggers are present partial save requires that some subset of rows save without any errors in order to avoid inconsistent side effects from those triggers. Number of retries: 2:--","01udp000000zivWAAQ","01sa5000001vuxlAAA","01tdp000006HfpqAAC","","250.0","true","false","0jPdp00000000zREAQ"
"01udp000000zivXAAQ","CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:Too many retries of batch save in the presence of Apex triggers with failures: when triggers are present partial save requires that some subset of rows save without any errors in order to avoid inconsistent side effects from those triggers. Number of retries: 2:--","01udp000000zivXAAQ","01sa5000001vuxlAAA","01tdp000006HfprAAC","","250.0","true","false","0jPdp00000000zREAQ"
"01udp000000zivYAAQ","CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:Too many retries of batch save in the presence of Apex triggers with failures: when triggers are present partial save requires that some subset of rows save without any errors in order to avoid inconsistent side effects from those triggers. Number of retries: 2:--","01udp000000zivYAAQ","01sa5000001vuxlAAA","01tdp000006HfpsAAC","","250.0","true","false","0jPdp00000000zREAQ"
"01udp000000zivZAAQ","CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:Too many retries of batch save in the presence of Apex triggers with failures: when triggers are present partial save requires that some subset of rows save without any errors in order to avoid inconsistent side effects from those triggers. Number of retries: 2:--","01udp000000zivZAAQ","01sa5000001vuxlAAA","01tdp000006HfptAAC","","250.0","true","false","0jPdp00000000zREAQ"
"01udp000000zivaAAA","CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:Too many retries of batch save in the presence of Apex triggers with failures: when triggers are present partial save requires that some subset of rows save without any errors in order to avoid inconsistent side effects from those triggers. Number of retries: 2:--","01udp000000zivaAAA","01sa5000001vuxlAAA","01tdp000006HfpuAAC","","250.0","true","false","0jPdp00000000zREAQ"
"01udp000000zivbAAA","CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:Too many retries of batch save in the presence of Apex triggers with failures: when triggers are present partial save requires that some subset of rows save without any errors in order to avoid inconsistent side effects from those triggers. Number of retries: 2:--","01udp000000zivbAAA","01sa5000001vuxlAAA","01tdp000006HfpvAAC","","1200.0","true","false","0jPdp00000000zREAQ"
"01udp000000zivcAAA","CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:Too many retries of batch save in the presence of Apex triggers with failures: when triggers are present partial save requires that some subset of rows save without any errors in order to avoid inconsistent side effects from those triggers. Number of retries: 2:--","01udp000000zivcAAA","01sa5000001vuxlAAA","01tdp000006HfpwAAC","","1800.0","true","false","0jPdp00000000zREAQ"
"01udp000000zivdAAA","CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:Too many retries of batch save in the presence of Apex triggers with failures: when triggers are present partial save requires that some subset of rows save without any errors in order to avoid inconsistent side effects from those triggers. Number of retries: 2:--","01udp000000zivdAAA","01sa5000001vuxlAAA","01tdp000006HfpxAAC","","2000.0","true","false","0jPdp00000000zREAQ"
"01udp000000ziveAAA","CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:Too many retries of batch save in the presence of Apex triggers with failures: when triggers are present partial save requires that some subset of rows save without any errors in order to avoid inconsistent side effects from those triggers. Number of retries: 2:--","01udp000000ziveAAA","01sa5000001vuxlAAA","01tdp000006HfpyAAC","","2500.0","true","false","0jPdp00000000zREAQ"
